"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Application successfully creates *.json file.","30016","test","Surefire suite","Wed Feb 12 09:31:37 GMT 2025","passed","Wed Feb 12 09:32:07 GMT 2025","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","Surefire test","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","test"
"Application prints an error and exits gracefully in case of non JSON file.","8","test","Surefire suite","Wed Feb 12 09:35:07 GMT 2025","failed","Wed Feb 12 09:35:07 GMT 2025","functional.TC021_VerifyInvalidFileTypeProcessingTest","Surefire test","functional.TC021_VerifyInvalidFileTypeProcessingTest","test"
"Application prints an error and exits gracefully in case of broken JSON file structure.","11","test","Surefire suite","Wed Feb 12 09:35:07 GMT 2025","failed","Wed Feb 12 09:35:07 GMT 2025","functional.TC020_VerifyBrokenJsonProcessingTest","Surefire test","functional.TC020_VerifyBrokenJsonProcessingTest","test"
"Execution of config file that has more than 10 endpoints.","150069","test","Surefire suite","Wed Feb 12 09:35:07 GMT 2025","failed","Wed Feb 12 09:37:37 GMT 2025","functional.TC016_VerifyElevenEndpointsProcessingTest","Surefire test","functional.TC016_VerifyElevenEndpointsProcessingTest","test"
"Report file reflects JSON structure.","30049","test","Surefire suite","Wed Feb 12 09:29:37 GMT 2025","passed","Wed Feb 12 09:30:07 GMT 2025","sanity.TC005_VerifyReportIsValidJsonTest","Surefire test","sanity.TC005_VerifyReportIsValidJsonTest","test"
"Base positive case scenario.","120040","test","Surefire suite","Wed Feb 12 09:32:07 GMT 2025","failed","Wed Feb 12 09:34:07 GMT 2025","functional.TC008_VerifyPingerFlowWithValidReportTest","Surefire test","functional.TC008_VerifyPingerFlowWithValidReportTest","test"
"Report JSON file matches expected schema.","43263","test","Surefire suite","Wed Feb 12 09:28:54 GMT 2025","failed","Wed Feb 12 09:29:37 GMT 2025","sanity.TC007_VerifyAvailableEndpointHasSuccessfulPingsTest","Surefire test","sanity.TC007_VerifyAvailableEndpointHasSuccessfulPingsTest","test"
"Verify application usage message when no arguments are provided","154","test","Surefire suite","Wed Feb 12 09:27:53 GMT 2025","passed","Wed Feb 12 09:27:53 GMT 2025","smoke.TC001_VerifyApplicationIsRunnableTest","Surefire test","smoke.TC001_VerifyApplicationIsRunnableTest","test"
"Should not execute pings for duplicated endpoints","60032","test","Surefire suite","Wed Feb 12 09:34:07 GMT 2025","failed","Wed Feb 12 09:35:07 GMT 2025","functional.TC017_VerifyPingerFlowWithDuplicatesTest","Surefire test","functional.TC017_VerifyPingerFlowWithDuplicatesTest","test"
"Application successfully creates file with given name.","30024","test","Surefire suite","Wed Feb 12 09:27:54 GMT 2025","passed","Wed Feb 12 09:28:24 GMT 2025","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","Surefire test","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","test"
"Application successfully loads configuration JSON and exits without errors.","30017","test","Surefire suite","Wed Feb 12 09:31:07 GMT 2025","passed","Wed Feb 12 09:31:37 GMT 2025","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","Surefire test","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","test"
"Report JSON file matches expected schema.","2","test","Surefire suite","Wed Feb 12 09:31:07 GMT 2025","failed","Wed Feb 12 09:31:07 GMT 2025","sanity.TC006_VerifyReportStructureTest","Surefire test","sanity.TC006_VerifyReportStructureTest","test"
