"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Application prints an error and exits gracefully in case of broken JSON file structure.","7","test","Surefire suite","Mon Feb 17 10:30:29 GMT 2025","failed","Mon Feb 17 10:30:29 GMT 2025","functional.TC020_VerifyBrokenJsonProcessingTest","Surefire test","functional.TC020_VerifyBrokenJsonProcessingTest","test"
"Application successfully creates *.json file.","30013","test","Surefire suite","Mon Feb 17 10:26:59 GMT 2025","passed","Mon Feb 17 10:27:29 GMT 2025","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","Surefire test","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","test"
"Should not execute pings for duplicated endpoints","60025","test","Surefire suite","Mon Feb 17 10:29:29 GMT 2025","failed","Mon Feb 17 10:30:29 GMT 2025","functional.TC017_VerifyPingerFlowWithDuplicatesTest","Surefire test","functional.TC017_VerifyPingerFlowWithDuplicatesTest","test"
"Report JSON file matches expected schema.","2","test","Surefire suite","Mon Feb 17 10:26:29 GMT 2025","failed","Mon Feb 17 10:26:29 GMT 2025","sanity.TC006_VerifyReportStructureTest","Surefire test","sanity.TC006_VerifyReportStructureTest","test"
"Base positive case scenario.","120036","test","Surefire suite","Mon Feb 17 10:27:29 GMT 2025","failed","Mon Feb 17 10:29:29 GMT 2025","functional.TC008_VerifyPingerFlowWithValidReportTest","Surefire test","functional.TC008_VerifyPingerFlowWithValidReportTest","test"
"Application successfully loads configuration JSON and exits without errors.","30014","test","Surefire suite","Mon Feb 17 10:26:29 GMT 2025","passed","Mon Feb 17 10:26:59 GMT 2025","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","Surefire test","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","test"
"Report JSON file matches expected schema.","43186","test","Surefire suite","Mon Feb 17 10:24:16 GMT 2025","failed","Mon Feb 17 10:24:59 GMT 2025","sanity.TC007_VerifyAvailableEndpointHasSuccessfulPingsTest","Surefire test","sanity.TC007_VerifyAvailableEndpointHasSuccessfulPingsTest","test"
"Application successfully creates file with given name.","30031","test","Surefire suite","Mon Feb 17 10:23:16 GMT 2025","passed","Mon Feb 17 10:23:46 GMT 2025","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","Surefire test","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","test"
"Application prints an error and exits gracefully in case of non JSON file.","5","test","Surefire suite","Mon Feb 17 10:30:29 GMT 2025","failed","Mon Feb 17 10:30:29 GMT 2025","functional.TC021_VerifyInvalidFileTypeProcessingTest","Surefire test","functional.TC021_VerifyInvalidFileTypeProcessingTest","test"
"Report file reflects JSON structure.","30044","test","Surefire suite","Mon Feb 17 10:24:59 GMT 2025","passed","Mon Feb 17 10:25:29 GMT 2025","sanity.TC005_VerifyReportIsValidJsonTest","Surefire test","sanity.TC005_VerifyReportIsValidJsonTest","test"
"Verify application usage message when no arguments are provided","135","test","Surefire suite","Mon Feb 17 10:23:15 GMT 2025","passed","Mon Feb 17 10:23:15 GMT 2025","smoke.TC001_VerifyApplicationIsRunnableTest","Surefire test","smoke.TC001_VerifyApplicationIsRunnableTest","test"
"Execution of config file that has more than 10 endpoints.","150059","test","Surefire suite","Mon Feb 17 10:30:29 GMT 2025","failed","Mon Feb 17 10:32:59 GMT 2025","functional.TC016_VerifyElevenEndpointsProcessingTest","Surefire test","functional.TC016_VerifyElevenEndpointsProcessingTest","test"
