"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Report JSON file matches expected schema.","43194","test","Surefire suite","Tue Feb 11 00:12:04 GMT 2025","failed","Tue Feb 11 00:12:47 GMT 2025","sanity.TC007_VerifyAvailableEndpointHasSuccessfulPingsTest","Surefire test","sanity.TC007_VerifyAvailableEndpointHasSuccessfulPingsTest","test"
"Application successfully creates *.json file.","30014","test","Surefire suite","Tue Feb 11 00:15:17 GMT 2025","passed","Tue Feb 11 00:15:47 GMT 2025","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","Surefire test","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","test"
"Report JSON file matches expected schema.","60","test","Surefire suite","Tue Feb 11 00:13:47 GMT 2025","failed","Tue Feb 11 00:13:47 GMT 2025","sanity.TC006_VerifyReportStructureTest","Surefire test","sanity.TC006_VerifyReportStructureTest","test"
"Application successfully creates file with given name.","30016","test","Surefire suite","Tue Feb 11 00:14:17 GMT 2025","passed","Tue Feb 11 00:14:47 GMT 2025","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","Surefire test","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","test"
"Report file reflects JSON structure.","30037","test","Surefire suite","Tue Feb 11 00:13:47 GMT 2025","passed","Tue Feb 11 00:14:17 GMT 2025","sanity.TC005_VerifyReportIsValidJsonTest","Surefire test","sanity.TC005_VerifyReportIsValidJsonTest","test"
"Application prints an error and exits gracefully in case of non JSON file.","6","test","Surefire suite","Tue Feb 11 00:17:48 GMT 2025","failed","Tue Feb 11 00:17:48 GMT 2025","functional.TC021_VerifyInvalidFileTypeProcessingTest","Surefire test","functional.TC021_VerifyInvalidFileTypeProcessingTest","test"
"Application prints an error and exits gracefully in case of broken JSON file structure.","6","test","Surefire suite","Tue Feb 11 00:17:48 GMT 2025","failed","Tue Feb 11 00:17:48 GMT 2025","functional.TC020_VerifyBrokenJsonProcessingTest","Surefire test","functional.TC020_VerifyBrokenJsonProcessingTest","test"
"Base positive case scenario.","120038","test","Surefire suite","Tue Feb 11 00:15:47 GMT 2025","failed","Tue Feb 11 00:17:48 GMT 2025","functional.TC008_VerifyPingerFlowWithValidReportTest","Surefire test","functional.TC008_VerifyPingerFlowWithValidReportTest","test"
"Verify application usage message when no arguments are provided","4","test","Surefire suite","Tue Feb 11 00:23:48 GMT 2025","passed","Tue Feb 11 00:23:48 GMT 2025","smoke.TC001_VerifyApplicationIsRunnableTest","Surefire test","smoke.TC001_VerifyApplicationIsRunnableTest","test"
"Execution of config file that has more than 10 endpoints.","300091","test","Surefire suite","Tue Feb 11 00:17:48 GMT 2025","failed","Tue Feb 11 00:22:48 GMT 2025","functional.TC016_VerifyElevenEndpointsProcessingTest","Surefire test","functional.TC016_VerifyElevenEndpointsProcessingTest","test"
"Should not execute pings for duplicated endpoints","60025","test","Surefire suite","Tue Feb 11 00:22:48 GMT 2025","failed","Tue Feb 11 00:23:48 GMT 2025","functional.TC017_VerifyPingerFlowWithDuplicatesTest","Surefire test","functional.TC017_VerifyPingerFlowWithDuplicatesTest","test"
"Application successfully loads configuration JSON and exits without errors.","30014","test","Surefire suite","Tue Feb 11 00:14:47 GMT 2025","passed","Tue Feb 11 00:15:17 GMT 2025","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","Surefire test","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","test"
