"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify application usage message when no arguments are provided","3","test","Surefire suite","Mon Feb 10 23:53:36 GMT 2025","passed","Mon Feb 10 23:53:36 GMT 2025","smoke.TC001_VerifyApplicationIsRunnableTest","Surefire test","smoke.TC001_VerifyApplicationIsRunnableTest","test"
"Application successfully loads configuration JSON and exits without errors.","30014","verifyApplicationReadsValidConfigFile","Surefire suite","Mon Feb 10 23:44:36 GMT 2025","passed","Mon Feb 10 23:45:06 GMT 2025","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","Surefire test","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","verifyApplicationReadsValidConfigFile"
"Base positive case scenario.","120038","test","Surefire suite","Mon Feb 10 23:51:36 GMT 2025","failed","Mon Feb 10 23:53:36 GMT 2025","functional.TC007_VerifyPingerFlowWithValidReportTest","Surefire test","functional.TC007_VerifyPingerFlowWithValidReportTest","test"
"Application successfully creates *.json file.","30014","test","Surefire suite","Mon Feb 10 23:45:06 GMT 2025","passed","Mon Feb 10 23:45:36 GMT 2025","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","Surefire test","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","test"
"Application successfully creates file with given name.","30014","test","Surefire suite","Mon Feb 10 23:44:06 GMT 2025","passed","Mon Feb 10 23:44:36 GMT 2025","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","Surefire test","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","test"
"Should not execute pings for duplicated endpoints","60103","test","Surefire suite","Mon Feb 10 23:45:36 GMT 2025","failed","Mon Feb 10 23:46:36 GMT 2025","functional.TC016_VerifyPingerFlowWithDuplicatesTest","Surefire test","functional.TC016_VerifyPingerFlowWithDuplicatesTest","test"
"Execution of config file that has more than 10 endpoints.","300090","test","Surefire suite","Mon Feb 10 23:46:36 GMT 2025","failed","Mon Feb 10 23:51:36 GMT 2025","functional.TC015_VerifyElevenEndpointsProcessingTest","Surefire test","functional.TC015_VerifyElevenEndpointsProcessingTest","test"
"Application prints an error and exits gracefully in case of non JSON file.","9","test","Surefire suite","Mon Feb 10 23:46:36 GMT 2025","failed","Mon Feb 10 23:46:36 GMT 2025","functional.TC020_VerifyInvalidFileTypeProcessingTest","Surefire test","functional.TC020_VerifyInvalidFileTypeProcessingTest","test"
"Report file reflects JSON structure.","30037","test","Surefire suite","Mon Feb 10 23:43:36 GMT 2025","passed","Mon Feb 10 23:44:06 GMT 2025","sanity.TC005_VerifyReportIsValidJsonTest","Surefire test","sanity.TC005_VerifyReportIsValidJsonTest","test"
"Report JSON file matches expected schema.","85","test","Surefire suite","Mon Feb 10 23:43:36 GMT 2025","failed","Mon Feb 10 23:43:36 GMT 2025","sanity.TC006_VerifyReportStructureTest","Surefire test","sanity.TC006_VerifyReportStructureTest","test"
"Application prints an error and exits gracefully in case of broken JSON file structure.","5","test","Surefire suite","Mon Feb 10 23:45:36 GMT 2025","failed","Mon Feb 10 23:45:36 GMT 2025","functional.TC019_VerifyBrokenJsonProcessingTest","Surefire test","functional.TC019_VerifyBrokenJsonProcessingTest","test"
